Quantite,Prix
1,2.0004491696682436
1,2.004981823597582
1,2.005868718705276
1,2.006939067185616
1,2.0088957906630576
1,2.010204095607751
1,2.012697973510832
1,2.0159689288367275
1,2.016688191545285
1,2.017201499393572
1,2.017807042916612
1,2.020210231295721
1,2.0203068227838585
1,2.0249157903947292
1,2.025144582122845
1,2.0265122510367597
1,2.0335313327667492
1,2.0338298523304914
1,2.0344004463543364
1,2.0390457125459633
1,2.0398256717351764
1,2.0412259272560505
1,2.041373439873418
1,2.0415185437443455
1,2.0421622145663214
1,2.043907652857481
1,2.044750770226038
1,2.0467634452148786
1,2.0469788111456744
1,2.047820835890512
1,2.0494161743650885
1,2.0556527582685433
1,2.0582561476903223
1,2.0596640958048376
1,2.0597132111284395
1,2.060480107441478
1,2.0617051332845904
1,2.0625166784656592
1,2.063248391854451
1,2.063472035152415
1,2.065360856967903
1,2.068968312377354
1,2.0705843128481227
1,2.071506913476064
1,2.0726644131101786
1,2.074816522558187
1,2.076246981144603
1,2.0770930519252886
1,2.078671889991508
1,2.079903859383858
1,2.0831454502574687
1,2.0833749372363037
1,2.084074485325992
1,2.084890373787239
1,2.0882466253922196
1,2.0883126497387643
1,2.088857997634335
1,2.0896620773137187
1,2.089987718453564
1,2.0915196178897517
1,2.0915252234041617
1,2.0917091496619733
1,2.0946262280043584
1,2.0949422622872866
1,2.0994717890839567
1,2.102296529599599
1,2.103604297926889
1,2.105640872149941
1,2.1068862544985336
1,2.110933381559512
1,2.111124909395226
1,2.1206711011524497
1,2.122669404923961
1,2.1238696651540963
1,2.127006644510381
1,2.127671302079026
1,2.1281997196611258
1,2.1284833693831686
1,2.1299383095239293
1,2.131287989061903
1,2.1317615005459984
1,2.1327213592687286
1,2.1333800175545896
1,2.1363689338911556
1,2.1384436388146
1,2.1386896587659727
1,2.1418086665432376
1,2.1427618551118535
1,2.14592684109088
1,2.14601173927851
1,2.1491155504911816
1,2.1523957257825614
1,2.1573077723651544
1,2.1579099513265305
1,2.1580944790468024
1,2.16041267669139
1,2.165564778121329
1,2.1672124124011347
1,2.1702497320791174
1,2.1725258658767252
1,2.174041168743031
1,2.1766530464709852
1,2.1769264455508193
1,2.17715235236847
1,2.187660276627284
1,2.188704475638236
1,2.1902345924714908
1,2.191299663158759
1,2.192727823313902
1,2.1964393370912063
2,2.197141066587978
2,2.1995455593859177
2,2.202697096594136
2,2.2039248915841476
2,2.2040085323706577
2,2.2051368554125794
2,2.207313243701549
2,2.208766283344545
2,2.213879385323004
2,2.216403791083991
2,2.2164361275108035
2,2.2165514236621426
2,2.22024173404861
2,2.2218917771411135
2,2.2219049645337385
2,2.223801411308166
2,2.2238222893968853
2,2.224524816888877
2,2.2316494616172804
2,2.234386140272342
2,2.2346020644628304
2,2.23908310576239
2,2.2395635241924374
2,2.239930656509891
2,2.242105789833655
2,2.242997173046369
2,2.2436192160202495
2,2.245741027243426
2,2.246152408501434
2,2.2464407797977124
2,2.250051436080284
2,2.251181123587717
2,2.2521127856202945
2,2.2523042653752867
2,2.2526538190157552
2,2.2540684291387265
2,2.2561624163601692
2,2.2637468937870153
2,2.2671787795157208
2,2.268344291000936
2,2.2712960887581097
2,2.271334662625673
2,2.272194072746874
2,2.2726329449738714
2,2.2746929936074523
2,2.276857466924163
2,2.281658381346073
2,2.2840101286195598
2,2.287512392048516
2,2.2884067904687484
2,2.2886314825689205
2,2.291621196696994
2,2.293001934352457
2,2.2938346672643313
2,2.2946794887698516
2,2.2955236835464525
2,2.2975679102833695
2,2.298964846989776
2,2.299844335431054
2,2.2999602197359934
2,2.301209574796026
2,2.306447311282202
2,2.3075945974487873
2,2.3102155674893403
2,2.3104713317476246
2,2.310962576618124
2,2.313562432128794
2,2.3162743432002024
2,2.320563561204157
2,2.3221813816463452
2,2.322803267599223
2,2.32315134816373
2,2.3279681928921434
2,2.331688171378403
2,2.332861914659329
2,2.3330819553552544
2,2.3335169315323725
2,2.3362633852795014
2,2.3367795656218604
2,2.3385333042507526
2,2.3388503292266734
2,2.3444449741247375
2,2.3459397072399355
2,2.3477234928366464
2,2.348331870281548
2,2.35260381396278
2,2.352950586742459
2,2.353039491224809
2,2.353417276313973
2,2.3542179728706394
2,2.3552647729596856
2,2.359019534690212
2,2.3596915764122066
2,2.3612209730228777
2,2.3621600426385285
2,2.3658460925637996
2,2.3685166616546667
2,2.369280658799287
2,2.370455781111513
2,2.3705656948728624
2,2.372992473216488
2,2.3733186873074423
2,2.374411803299221
2,2.376123685824563
2,2.3762410241077774
3,2.3815387995893644
3,2.3824778287514476
3,2.3840199478095805
3,2.386060969898036
3,2.3864276863192906
3,2.390670653494894
3,2.3909814851997773
3,2.392878182252442
3,2.393538755352882
3,2.3945380047651845
3,2.3958592303540875
3,2.3965124168244785
3,2.4036644361333757
3,2.406645869034893
3,2.4066946512555063
3,2.4129904404984295
3,2.415712052942439
3,2.416692291149257
3,2.4182178111496384
3,2.421801731225841
3,2.4246443715891175
3,2.4300004975987086
3,2.431842893687758
3,2.4337877877993783
3,2.4338406548885274
3,2.436971876035919
3,2.4380628702733453
3,2.44223333785353
3,2.443687726482768
3,2.4485065059256677
3,2.4491826432742876
3,2.4498510492341694
3,2.4532887191355606
3,2.4534433841489225
3,2.4542829174603327
3,2.4550346758823984
3,2.455429945851691
3,2.4587254371460183
3,2.4588617829502084
3,2.459334813177769
3,2.4646288208685867
3,2.468007456783166
3,2.4693474958541373
3,2.4696602099663565
3,2.4732849314491006
3,2.4736175551813915
3,2.474169302783345
3,2.4755413436373424
3,2.4795512118513194
3,2.4802810585681456
3,2.4827329902716038
3,2.4830664155734077
3,2.483274515446695
3,2.485436932087943
3,2.485533332672887
3,2.4882077159285103
3,2.4905299345657212
3,2.491209019203257
3,2.4951017172185104
3,2.497097780574787
3,2.497525405769938
3,2.5001479112353593
3,2.500931911504537
3,2.5016927226842682
3,2.5063064707320244
3,2.5093283288242745
3,2.5128204685214826
3,2.5140192029702533
3,2.5143224777886353
3,2.5154694903456694
3,2.5158815503131073
3,2.5204799018215347
3,2.520723086650378
3,2.5212846720596005
3,2.5225859389087972
3,2.522895386113717
3,2.523440472746749
3,2.5245703380255584
3,2.5281171083073666
3,2.5287796751260743
3,2.5327424325865557
3,2.533391293885412
3,2.5358063960441335
3,2.5369134389583436
3,2.538889495585021
3,2.5420267875202676
3,2.5425778725366506
3,2.54305980127538
3,2.5464464393182986
3,2.546833257229178
3,2.5469008541868945
3,2.5470455954713316
3,2.5471816268768706
3,2.5487888187658854
3,2.5492567857844826
